"(I,J,L)",theta,sd,y,#O,z,#A,obj,time_cost
"(12, 5, 5)",1,3,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[0.0, -0.0, 1.0, 1.0, -0.0], [1.0, 0.0, 0.0, 0.0, 0.0], [-0.0, 1.0, -0.0, 0.0, 0.0], [-0.0, -0.0, 0.0, 0.0, 0.0], [-0.0, 0.0, 0.0, 0.0, 1.0]]",5.0,2130.475409908982,194.2258
"(12, 5, 5)",1,4,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[-0.0, -0.0, 1.0, -0.0, 1.0], [1.0, -0.0, 0.0, 0.0, 0.0], [-0.0, 1.0, -0.0, -0.0, -0.0], [-0.0, 0.0, -0.0, -0.0, -0.0], [0.0, -0.0, -0.0, 1.0, -0.0]]",5.0,2133.5730858609127,214.7731
"(12, 5, 5)",1,5,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,"[[1.0, 0.0, 0.0, -0.0, 1.0], [-0.0, 1.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, -0.0], [-0.0, -0.0, -0.0, 0.0, -0.0], [-0.0, 0.0, 1.0, 0.0, -0.0]]",5.0,2186.9765949572015,229.6686
"(12, 5, 5)",1,6,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[1.0, 0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, -0.0, 1.0, -0.0], [-0.0, 1.0, 0.0, -0.0, -0.0], [0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, -0.0]]",5.0,2146.411606113446,221.3949
"(12, 5, 5)",1,7,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[-0.0, 1.0, 1.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, -0.0], [0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, 0.0, -0.0, -0.0, -0.0], [1.0, -0.0, -0.0, -0.0, 0.0]]",5.0,2181.8754568956315,220.6025
"(12, 5, 5)",1,8,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,"[[-0.0, 1.0, -0.0, 1.0, -0.0], [-0.0, -0.0, 1.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, -0.0, -0.0, -0.0], [1.0, -0.0, -0.0, -0.0, -0.0]]",5.0,2131.074297410416,224.1499
"(12, 5, 5)",1,9,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[1.0, 1.0, -0.0, 0.0, -0.0], [0.0, -0.0, -0.0, 1.0, -0.0], [-0.0, -0.0, -0.0, 0.0, 1.0], [-0.0, -0.0, 0.0, -0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, 0.0]]",5.0,2064.922754427808,179.7892
"(12, 5, 5)",2,0,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,"[[-0.0, 1.0, 1.0, -0.0, -0.0], [1.0, 0.0, 0.0, -0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, -0.0, 0.0], [-0.0, 0.0, 0.0, 1.0, 0.0]]",5.0,2367.3814983336397,200.0544
"(12, 5, 5)",2,1,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[1.0, 0.0, -0.0, 1.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, 1.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, 0.0, 1.0, -0.0, 0.0]]",5.0,2142.818799768607,219.0088
"(12, 5, 5)",2,2,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[-0.0, 1.0, -0.0, -0.0, 1.0], [-0.0, 0.0, 0.0, 1.0, 0.0], [-0.0, -0.0, 1.0, -0.0, 0.0], [0.0, -0.0, -0.0, -0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0]]",5.0,2046.446986149765,195.7103
"(12, 5, 5)",2,3,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,"[[1.0, 1.0, -0.0, -0.0, -0.0], [-0.0, 0.0, 1.0, 0.0, 0.0], [-0.0, 0.0, 0.0, -0.0, 1.0], [0.0, 0.0, 0.0, 0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, -0.0]]",5.0,2167.779366063545,379.9416
"(12, 5, 5)",2,4,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[-0.0, 1.0, -0.0, 1.0, 0.0], [-0.0, -0.0, 0.0, -0.0, 1.0], [1.0, -0.0, -0.0, -0.0, -0.0], [0.0, 0.0, -0.0, -0.0, -0.0], [-0.0, 0.0, 1.0, 0.0, 0.0]]",5.0,2171.889407689174,377.2814
"(12, 5, 5)",2,5,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[1.0, 0.0, 1.0, -0.0, -0.0], [-0.0, 0.0, -0.0, -0.0, 1.0], [-0.0, 1.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 0.0], [-0.0, -0.0, -0.0, 1.0, -0.0]]",5.0,2220.796645200313,237.4591
"(12, 5, 5)",2,6,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,"[[-0.0, 1.0, -0.0, -0.0, 1.0], [1.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, -0.0]]",5.0,2179.8945351650536,223.1257
"(12, 5, 5)",2,7,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[-0.0, -0.0, 1.0, -0.0, 1.0], [1.0, -0.0, 0.0, -0.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0], [0.0, -0.0, 0.0, 0.0, 0.0], [-0.0, -0.0, -0.0, 1.0, -0.0]]",5.0,2215.6877925151066,151.3799
"(12, 5, 5)",2,8,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[1.0, 0.0, 1.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, -0.0], [0.0, 0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, -0.0, 0.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0]]",5.0,2164.729219598017,208.1703
"(12, 5, 5)",2,9,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,"[[1.0, -0.0, 0.0, 1.0, -0.0], [0.0, 1.0, -0.0, -0.0, 0.0], [-0.0, -0.0, 1.0, 0.0, 0.0], [0.0, 0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 1.0]]",5.0,2097.831908838014,209.0372
"(12, 5, 5)",4,0,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[1.0, 1.0, -0.0, -0.0, -0.0], [-0.0, 0.0, 1.0, -0.0, 0.0], [-0.0, -0.0, 0.0, -0.0, 1.0], [0.0, 0.0, -0.0, 0.0, -0.0], [0.0, -0.0, -0.0, 1.0, -0.0]]",5.0,2434.006467822532,194.83
"(12, 5, 5)",4,1,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[1.0, 0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, 1.0, 0.0, 0.0], [-0.0, 1.0, 0.0, -0.0, -0.0], [-0.0, 0.0, 0.0, -0.0, 0.0], [0.0, 0.0, -0.0, 1.0, -0.0]]",5.0,2209.453473352059,207.5544
"(12, 5, 5)",4,2,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[1.0, -0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, -0.0, 1.0], [-0.0, 1.0, 0.0, 0.0, 0.0], [-0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, -0.0]]",5.0,2119.5933218529763,678.438
"(12, 5, 5)",4,3,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,"[[1.0, 0.0, 0.0, -0.0, 1.0], [-0.0, -0.0, 0.0, 1.0, -0.0], [-0.0, 1.0, -0.0, 0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0], [0.0, 0.0, 1.0, -0.0, 0.0]]",5.0,2238.036271839334,716.9293
"(12, 5, 5)",4,4,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[-0.0, -0.0, 1.0, 0.0, 1.0], [1.0, 0.0, -0.0, 0.0, 0.0], [-0.0, -0.0, -0.0, 1.0, -0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, -0.0, 0.0]]",5.0,2241.8402554764134,631.9454
"(12, 5, 5)",4,5,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,"[[0.0, 0.0, -0.0, 1.0, 0.0], [-0.0, 1.0, 1.0, -0.0, -0.0], [1.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 1.0]]",5.0,2293.1552753467954,425.8321
"(12, 5, 5)",4,6,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[1.0, -0.0, -0.0, -0.0, 1.0], [-0.0, 1.0, -0.0, 0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, -0.0], [6.852157730108388e-17, -3.469446951953614e-17, 0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, 0.0]]",5.0,2246.3040342578734,197.0932
"(12, 5, 5)",4,7,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[-0.0, -0.0, -0.0, 1.0, -0.0], [1.0, 1.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0], [-0.0, -0.0, 1.0, 0.0, -0.0]]",5.0,2290.5474093792745,377.933
"(12, 5, 5)",4,8,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[0.0, -0.0, -0.0, 1.0, 1.0], [1.0, -0.0, -0.0, -0.0, -0.0], [0.0, 1.0, -0.0, -0.0, -0.0], [0.0, -0.0, -0.0, -0.0, -0.0], [0.0, 0.0, 1.0, -0.0, 0.0]]",5.0,2231.865587130721,203.7278
"(12, 5, 5)",4,9,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[-0.0, -0.0, -0.0, 1.0, -0.0], [0.0, 1.0, -0.0, 0.0, 0.0], [1.0, -0.0, 1.0, -0.0, -0.0], [0.0, 0.0, 0.0, -0.0, 0.0], [-0.0, -0.0, -0.0, -0.0, 1.0]]",5.0,2171.0910902267206,763.5058
"(12, 5, 5)",8,0,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[-0.0, -0.0, 1.0, 1.0, -0.0], [1.0, -0.0, -0.0, -0.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 1.0]]",5.0,2583.1306945426495,607.7277
"(12, 5, 5)",8,1,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[-0.0, 1.0, -0.0, -0.0, 1.0], [0.0, 0.0, 1.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, -0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [1.0, -0.0, -0.0, 0.0, -0.0]]",5.0,2353.7114395355306,906.1576
"(12, 5, 5)",8,2,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,"[[-0.0, -0.0, 1.0, -0.0, -0.0], [1.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, 1.0], [-0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0]]",5.0,2257.2977892091662,668.35
"(12, 5, 5)",8,3,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[1.0, 1.0, -0.0, -0.0, 0.0], [-0.0, 0.0, 1.0, -0.0, -0.0], [-0.0, -0.0, 0.0, 1.0, -0.0], [0.0, -0.0, -0.0, 0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 1.0]]",5.0,2376.124599561385,665.9897
"(12, 5, 5)",8,4,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,"[[-0.0, -0.0, 1.0, -0.0, 1.0], [1.0, 0.0, -0.0, -0.0, -0.0], [-0.0, 1.0, 0.0, -0.0, -0.0], [0.0, -0.0, -0.0, 0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, -0.0]]",5.0,2376.3753057866948,606.4079
"(12, 5, 5)",8,5,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[-0.0, -0.0, -0.0, 1.0, 1.0], [0.0, 1.0, -0.0, 0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, 0.0], [-0.0, 0.0, -0.0, -0.0, -0.0], [1.0, -0.0, 0.0, -0.0, 0.0]]",5.0,2431.251226772435,623.4976
"(12, 5, 5)",8,6,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[1.0, -0.0, -0.0, 1.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, -0.0]]",5.0,2389.514054078407,598.2717
"(12, 5, 5)",8,7,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,"[[-0.0, -0.0, 1.0, -0.0, 1.0], [1.0, 0.0, -0.0, 0.0, 0.0], [-0.0, 1.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, -0.0]]",5.0,2426.382297011051,635.0953
"(12, 5, 5)",8,8,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[0.0, 0.0, -0.0, 1.0, 1.0], [-0.0, -0.0, 1.0, -0.0, -0.0], [1.0, 0.0, -0.0, 0.0, -0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [-0.0, 1.0, 0.0, 0.0, 0.0]]",5.0,2364.0720473711217,397.299
"(12, 5, 5)",8,9,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,"[[1.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 0.0, 1.0], [0.0, 1.0, 0.0, 1.0, -0.0], [-0.0, 0.0, 0.0, 0.0, 0.0], [-0.0, -0.0, 1.0, -0.0, -0.0]]",5.0,2305.2577776247554,551.9272
"(15, 6, 6)",0.5,0,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[1.0, -0.0, -0.0, -0.0, -0.0, -0.0], [0.0, 0.0, -0.0, -0.0, 0.0, 1.0], [-0.0, -0.0, -0.0, 1.0, 1.0, -0.0], [0.0, -0.0, 1.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 0.0], [0.0, 1.0, -0.0, -0.0, 0.0, -0.0]]",6.0,3045.69400178592,789.9447
"(15, 6, 6)",0.5,1,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[-0.0, -0.0, -0.0, -0.0, 1.0, -0.0], [1.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, 1.0, -0.0, 1.0, -0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 1.0]]",6.0,2733.021663609654,323.5805
"(15, 6, 6)",0.5,2,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[-0.0, -0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, -0.0, -0.0, 1.0, -0.0], [-0.0, -0.0, 1.0, 1.0, -0.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [1.0, -0.0, -0.0, -0.0, -0.0, -0.0]]",6.0,2609.4721281820403,322.2905
"(15, 6, 6)",0.5,3,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[-0.0, -0.0, -0.0, 1.0, -0.0, -0.0], [0.0, -0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, 1.0, -0.0, -0.0, 1.0, -0.0], [1.0, -0.0, -0.0, -0.0, -0.0, -0.0], [0.0, -0.0, -0.0, 0.0, 0.0, 0.0], [-0.0, -0.0, 1.0, -0.0, 0.0, -0.0]]",6.0,2772.475322455416,1611.0221
"(15, 6, 6)",0.5,4,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[-0.0, -0.0, -0.0, -0.0, 1.0, 0.0], [-0.0, -0.0, -0.0, 1.0, -0.0, -0.0], [1.0, -0.0, -0.0, -0.0, 0.0, 1.0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [0.0, 0.0, 1.0, -0.0, -0.0, -0.0]]",6.0,2768.828757587762,357.3752
"(15, 6, 6)",0.5,5,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[-0.0, -0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0], [-0.0, 0.0, 0.0, 1.0, 1.0, -0.0], [1.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [0.0, 0.0, 1.0, -0.0, -0.0, 0.0]]",6.0,2836.3739917885905,364.8874
"(15, 6, 6)",0.5,6,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[-0.0, 0.0, 0.0, 1.0, 0.0, -0.0], [1.0, -0.0, 0.0, -0.0, 0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, 1.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 1.0]]",6.0,2793.5832963314288,795.3281
"(15, 6, 6)",0.5,7,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[-0.0, -0.0, -0.0, 1.0, -0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, -0.0, -0.0], [1.0, -0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, -0.0, -0.0, 1.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0]]",6.0,2832.03212760987,345.9738
"(15, 6, 6)",0.5,8,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[0.0, -0.0, -0.0, 0.0, -0.0, 1.0], [-0.0, -0.0, -0.0, 1.0, -0.0, -0.0], [1.0, 1.0, 0.0, -0.0, 0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 1.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, 0.0, 1.0, -0.0, -0.0, -0.0]]",6.0,2757.135094116984,339.8386
"(15, 6, 6)",0.5,9,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[0.0, -0.0, 0.0, -0.0, 0.0, 1.0], [-0.0, 1.0, 0.0, 0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, 1.0, -0.0], [1.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, -0.0, -0.0]]",6.0,2690.9899453686203,769.1986
"(15, 6, 6)",1,0,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[1.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, -0.0, 1.0], [-0.0, -0.0, -0.0, -0.0, 1.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0]]",6.0,3073.922018132529,1418.2277
"(15, 6, 6)",1,1,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[0.0, -0.0, -0.0, -0.0, 0.0, 1.0], [-0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [-0.0, 1.0, 1.0, 0.0, 0.0, 0.0], [1.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, 0.0, -0.0, 1.0, 0.0, -0.0]]",6.0,2768.99511067126,1321.4463
"(15, 6, 6)",1,2,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[1.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, 1.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [0.0, -0.0, -0.0, 1.0, -0.0, -0.0]]",6.0,2634.9328374848797,745.8327
"(15, 6, 6)",1,3,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[1.0, -0.0, -0.0, -0.0, -0.0, 0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, 1.0, 1.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 1.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 0.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0]]",6.0,2787.0756254957987,757.3143
"(15, 6, 6)",1,4,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[-0.0, -0.0, -0.0, -0.0, -0.0, 1.0], [0.0, -0.0, -0.0, -0.0, 1.0, 0.0], [-0.0, 1.0, 1.0, 0.0, -0.0, -0.0], [1.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, 0.0, -0.0, 1.0, 0.0, -0.0]]",6.0,2795.045990163655,740.267
"(15, 6, 6)",1,5,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[1.0, 0.0, -0.0, -0.0, -0.0, -0.0], [0.0, -0.0, -0.0, 1.0, -0.0, 0.0], [-0.0, 1.0, 1.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 1.0, -0.0], [-0.0, -0.0, 0.0, -0.0, -0.0, -0.0], [0.0, -0.0, -0.0, 0.0, -0.0, 1.0]]",6.0,2862.6364148516523,782.974
"(15, 6, 6)",1,6,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[-0.0, -0.0, -0.0, -0.0, 1.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0], [1.0, -0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, -0.0, 1.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, -0.0, -0.0]]",6.0,2812.908919583546,816.8756
"(15, 6, 6)",1,7,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[-0.0, 1.0, -0.0, -0.0, -0.0, -0.0], [0.0, -0.0, 1.0, 0.0, -0.0, 0.0], [-0.0, -0.0, -0.0, 1.0, -0.0, 1.0], [-0.0, -0.0, -0.0, -0.0, 1.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [1.0, 0.0, -0.0, -0.0, 0.0, -0.0]]",6.0,2858.21268859747,814.8228
"(15, 6, 6)",1,8,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[0.0, 1.0, -0.0, -0.0, -0.0, -0.0], [-0.0, 0.0, -0.0, -0.0, 1.0, -0.0], [1.0, -0.0, 1.0, 0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, 0.0, -0.0, 0.0, 1.0]]",6.0,2792.4822592172045,1478.1302
"(15, 6, 6)",1,9,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[1.0, -0.0, 0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, 0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, 0.0, 1.0, 1.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, -0.0, -0.0]]",6.0,2715.167418324072,844.8085
"(15, 6, 6)",2,0,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",5.0,"[[1.0, -0.0, -0.0, 0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, 1.0, -0.0, 1.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0], [0.0, -0.0, 0.0, -0.0, -0.0, 0.0], [0.0, 0.0, -0.0, 1.0, -0.0, -0.0]]",6.0,3121.449303988563,1340.7667
"(15, 6, 6)",2,1,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[-0.0, -0.0, -0.0, 1.0, -0.0, -0.0], [1.0, -0.0, -0.0, 0.0, -0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, -0.0, 1.0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 1.0, -0.0]]",6.0,2817.3500565821632,1462.6208
"(15, 6, 6)",2,2,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",5.0,"[[-0.0, -0.0, 1.0, -0.0, 0.0, -0.0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0], [1.0, -0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, -0.0, -0.0, 1.0, -0.0], [0.0, 0.0, 0.0, -0.0, -0.0, 0.0], [-0.0, -0.0, -0.0, 1.0, -0.0, -0.0]]",6.0,2693.820178554389,689.9626
"(15, 6, 6)",2,3,"[1.0, 1.0, 1.0, 1.0, -0.0, 1.0]",5.0,"[[-0.0, -0.0, 0.0, 1.0, -0.0, -0.0], [0.0, 1.0, -0.0, -0.0, 0.0, 0.0], [1.0, -0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, 1.0, -0.0, -0.0, -0.0], [0.0, 0.0, 0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 1.0, -0.0]]",6.0,2844.237237502824,1260.1573
"(15, 6, 6)",2,4,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",5.0,"[[-0.0, 1.0, -0.0, -0.0, -0.0, -0.0], [0.0, -0.0, 0.0, 1.0, -0.0, -0.0], [1.0, -0.0, 1.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 1.0], [-0.0, -0.0, 0.0, 0.0, 0.0, 0.0], [-0.0, -0.0, 0.0, -0.0, 1.0, 0.0]]",6.0,2853.167940748799,1479.2463
"(15, 6, 6)",2,5,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",5.0,"[[-0.0, -0.0, -0.0, 1.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 1.0, -0.0], [1.0, 1.0, -0.0, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 1.0], [0.0, 0.0, -0.0, 0.0, -0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, 0.0, -0.0]]",6.0,2919.691611814925,1446.4368
