"(I,J,L)",time_cost,#O,#A,cost1,cost2,obj,25th,95th
"(6, 3, 3)",0.132,1.8,3.0,540.0,790.203,1330.203,1329.693,1425.932
"(9, 4, 4)",0.3,2.0,4.0,600.0,1285.008,1885.008,1880.716,2025.106
"(12, 5, 5)",0.958,2.6,5.0,780.0,1271.676,2051.676,1904.908,2279.062
"(15, 6, 6)",3.712,3.0,6.0,900.0,1572.68,2472.68,2402.998,2742.372
