"(I,J,L)",time_cost,#O,#A,cost1,cost2,obj,25th,95th
"(6, 3, 3)",0.162,1.9,3.0,570.0,812.756,1382.756,1377.301,1484.376
"(9, 4, 4)",0.477,2.0,4.0,600.0,1360.454,1960.454,1948.988,2111.081
"(12, 5, 5)",1.372,2.6,4.8,780.0,1349.658,2129.658,1974.876,2367.228
"(15, 6, 6)",8.012,3.0,6.0,900.0,1668.967,2568.967,2478.402,2850.717
