"(I,J,L)",time_cost,#O,#A,cost1,cost2,obj,25th,95th
"(6, 3, 3)",0.009,1.0,2.1,300.0,820.853,1120.853,1092.565,1224.085
"(9, 4, 4)",0.011,1.3,2.6,390.0,1131.149,1521.149,1461.34,1723.126
"(12, 5, 5)",0.016,2.0,4.6,600.0,1028.256,1628.256,1598.956,1757.459
"(15, 6, 6)",0.031,3.0,6.0,900.0,1158.102,2058.102,2018.265,2210.216
