"(I,J,L)",time_cost,#O,#A,cost1,cost2,obj,25th,95th
"(6, 3, 3)",0.739,2.0,3.0,600.0,700.625,1300.625,1281.329,1387.437
"(9, 4, 4)",7.861,3.0,4.0,900.0,1068.572,1968.572,1931.815,2101.692
"(12, 5, 5)",105.516,4.0,5.0,1200.0,988.929,2188.929,2160.309,2312.57
"(15, 6, 6)",2055.997,5.0,6.0,1500.0,1484.141,2984.141,2936.242,3167.21
