"(I,J,L)",time_cost,#O,#A,cost1,cost2,obj,25th,95th
"(6, 3, 3)",0.135,2.0,3.0,600.0,963.769,1563.769,1511.233,1732.794
"(12, 5, 5)",0.588,3.0,5.0,900.0,1702.657,2602.657,2550.357,2830.161
"(9, 4, 4)",0.306,3.0,4.0,900.0,1717.736,2617.736,2550.665,2836.172
"(15, 6, 6)",1.01,4.0,6.0,1200.0,2013.903,3213.903,3109.335,3540.784
