theta,sd,y,open_num,cots1,cost2,costt
5.75,4,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1233.7509625095245,2133.7509625095245
6.5,0,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1468.2533053738507,2368.2533053738507
6.5,1,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1235.049250152514,2135.049250152514
6.5,2,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1141.6956904321614,2041.6956904321614
6.5,3,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1261.6994189036418,2161.699418903642
6.5,4,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1266.5080283192683,2166.5080283192683
7.25,0,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1501.0103711835945,2401.0103711835945
7.25,1,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1267.806315962258,2167.806315962258
7.25,2,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1174.4527562419053,2074.4527562419053
7.25,3,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1294.4564847133865,2194.4564847133865
7.25,4,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1299.2650941290117,2199.2650941290117
8.0,0,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1533.4239264298371,2433.423926429837
8.0,1,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1300.5633817720018,2200.563381772002
8.0,2,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1207.209822051649,2107.209822051649
8.0,3,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1327.2135505231304,2227.2135505231304
8.0,4,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1332.0221599387555,2232.0221599387555
0.5,0,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1117.3831079138708,2317.383107913871
0.5,1,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,894.4960222630507,2094.4960222630507
0.5,2,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,798.6865422143383,1998.6865422143383
0.5,3,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,914.7751500730919,2114.775150073092
0.5,4,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,918.4018271790897,2118.4018271790897
1.25,0,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1145.9193355671841,2345.919335567184
1.25,1,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,922.3611571850824,2122.3611571850824
1.25,2,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,825.9018023594715,2025.9018023594715
1.25,3,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,942.2341661194992,2142.234166119499
1.25,4,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,946.0038613453585,2146.0038613453585
2.0,0,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1173.7401648195319,2373.740164819532
2.0,1,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,949.4491171426516,2149.4491171426516
2.0,2,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,852.6670136382104,2052.6670136382104
2.0,3,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,969.3513597372103,2169.3513597372103
2.0,4,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,973.168825844537,2173.168825844537
2.75,0,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1201.0580968668387,2401.0580968668387
2.75,1,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,1200.0,976.3072757038808,2176.307275703881
2.75,2,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,879.2230078795274,2079.2230078795274
2.75,3,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,996.3131533132437,2196.3131533132437
2.75,4,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,999.9405234429096,2199.9405234429096
3.5,0,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1228.1094301494236,2428.1094301494236
3.5,1,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1002.9817598856685,2202.9817598856685
3.5,2,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,905.6582006409913,2105.6582006409913
3.5,3,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1023.0895357124868,2223.089535712487
3.5,4,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1026.5725865236873,2226.5725865236873
4.25,0,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1254.9139019567324,2454.9139019567324
4.25,1,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1029.4796531332486,2229.4796531332486
4.25,2,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,931.964595716222,2131.964595716222
4.25,3,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,1200.0,1049.6654704961293,2249.6654704961293
4.25,4,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1053.0489155034497,2253.0489155034497
5.0,0,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1281.4725412791963,2481.4725412791963
5.0,1,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1055.8402613822568,2255.840261382257
5.0,2,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,958.2009761855584,2158.2009761855584
5.0,3,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1076.1125840117952,2276.112584011795
5.0,4,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1079.4110305487352,2279.411030548735
5.75,0,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1307.8456730915027,2507.8456730915027
5.75,1,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1082.0798191196836,2282.0798191196836
5.75,2,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,984.3082763419015,2184.3082763419015
5.75,3,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1102.3878173374555,2302.3878173374555
5.75,4,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1105.6068755646984,2305.6068755646984
6.5,0,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1334.0657853844514,2534.0657853844514
6.5,1,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1108.1895352866286,2308.1895352866286
6.5,2,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1010.3417023416373,2210.3417023416373
6.5,3,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,1200.0,1128.4752234180633,2328.4752234180633
6.5,4,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1131.7307814226156,2331.7307814226156
7.25,0,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1360.190400926805,2560.190400926805
7.25,1,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1134.220984398577,2334.220984398577
7.25,2,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1036.3492717516556,2236.3492717516556
7.25,3,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1154.5213279295472,2354.521327929547
7.25,4,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1157.8145448198998,2357.8145448198998
8.0,0,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1386.2461101707122,2586.246110170712
8.0,1,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1160.2293324875318,2360.229332487532
8.0,2,"[1.0, 1.0, 1.0, -0.0, 1.0]",4.0,1200.0,1061.1516549823991,2261.151654982399
8.0,3,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1180.5525005746836,2380.5525005746836
8.0,4,"[1.0, 1.0, 1.0, 0.0, 1.0]",4.0,1200.0,1183.8388796788013,2383.8388796788013
